source,target
Spettacoli_M.A._(Modugno),Integrazione_recite
Spettacoli_M.A._(Modugno),Trieste
Spettacoli_M.A._(Modugno),Compagnia_teatrale
Space_re(v)action,Importo_1000000_2
Space_re(v)action,17_luglio_1969
Space_re(v)action,Verbale_n.222
Space_re(v)action,Stagione_1968-1969
Space_re(v)action,Premio_finale
Space_re(v)action,Sperimentazione_teatrale
Sistina,Importo_4000000_8
Sistina,17_luglio_1969
Sistina,Verbale_n.222
Sistina,Stagione_1968-1969
Sistina,Premio_finale
Sistina,Roma
Sistina,Teatro
Satiri,Importo_3000000_8
Satiri,17_luglio_1969
Satiri,Verbale_n.222
Satiri,Stagione_1968-1969
Satiri,Premio_finale
Satiri,Roma
Satiri,Teatro
Sant'Erasmo,Importo_3000000_10
Sant'Erasmo,17_luglio_1969
Sant'Erasmo,Verbale_n.222
Sant'Erasmo,Stagione_1968-1969
Sant'Erasmo,Premio_finale
Sant'Erasmo,Milano
Sant'Erasmo,Teatro
San_Ferdinando,Importo_6000000_2
San_Ferdinando,17_luglio_1969
San_Ferdinando,Verbale_n.222
San_Ferdinando,Stagione_1968-1969
San_Ferdinando,Premio_finale
San_Ferdinando,Napoli
San_Ferdinando,Teatro
San_Babila,Importo_4000000_7
San_Babila,17_luglio_1969
San_Babila,Verbale_n.222
San_Babila,Stagione_1968-1969
San_Babila,Premio_finale
San_Babila,Integrazione_recite
San_Babila,Venezia
San_Babila,Milano
San_Babila,Compagnia_teatrale
Ridotto_Eliseo,Importo_3000000_11
Ridotto_Eliseo,17_luglio_1969
Ridotto_Eliseo,Verbale_n.222
Ridotto_Eliseo,Stagione_1968-1969
Ridotto_Eliseo,Premio_finale
Ridotto_Eliseo,Roma
Ridotto_Eliseo,Teatro
Raf_Vallone,Importo_450000_1
Raf_Vallone,17_luglio_1969
Raf_Vallone,Verbale_n.222
Raf_Vallone,Stagione_1968-1969
Raf_Vallone,Integrazione_recite
Raf_Vallone,Venezia
Raf_Vallone,Trieste
Raf_Vallone,Compagnia_teatrale
Puccini,Importo_2500000_1
Puccini,17_luglio_1969
Puccini,Verbale_n.222
Puccini,Stagione_1968-1969
Puccini,Premio_finale
Puccini,Milano
Puccini,Teatro
Politeama_,Importo_3000000_15
Politeama_,17_luglio_1969
Politeama_,Verbale_n.222
Politeama_,Stagione_1968-1969
Politeama_,Premio_finale
Politeama_,Napoli
Politeama_,Teatro
"Piccolo_di_Milano_Teatro_quartiere""",Importo_5000000_9
"Piccolo_di_Milano_Teatro_quartiere""",17_luglio_1969
"Piccolo_di_Milano_Teatro_quartiere""",Verbale_n.222
"Piccolo_di_Milano_Teatro_quartiere""",Stagione_1968-1969
"Piccolo_di_Milano_Teatro_quartiere""",Integrazioni
"Piccolo_di_Milano_Teatro_quartiere""",Milano
"Piccolo_di_Milano_Teatro_quartiere""",Teatro_Stabile
Piccolo_di_Milano,Importo_18000000_1
Piccolo_di_Milano,Importo_145000000_1
Piccolo_di_Milano,29_ottobre_1972
Piccolo_di_Milano,17_luglio_1969
Piccolo_di_Milano,Verbale_n.222
Piccolo_di_Milano,Appunto
Piccolo_di_Milano,Stagione_1968-1969
Piccolo_di_Milano,Premio_finale
Piccolo_di_Milano,Integrazioni
Piccolo_di_Milano,Milano
Piccolo_di_Milano,Teatro_Stabile
Piccini,Importo_3000000_18
Piccini,17_luglio_1969
Piccini,Verbale_n.222
Piccini,Stagione_1968-1969
Piccini,Premio_finale
Piccini,Bari
Piccini,Teatro
Parioli,Importo_2000000_1
Parioli,17_luglio_1969
Parioli,Verbale_n.222
Parioli,Stagione_1968-1969
Parioli,Premio_finale
Parioli,Roma
Parioli,Teatro
Paolo_Poli,Importo_120000_2
Paolo_Poli,Importo_4000000_4
Paolo_Poli,17_luglio_1969
Paolo_Poli,Verbale_n.222
Paolo_Poli,Stagione_1968-1969
Paolo_Poli,Premio_finale
Paolo_Poli,Integrazione_recite
Paolo_Poli,Venezia
